actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,0.9999862,0.0050635184,0.5063518,1.0050497,0.7617898,0.46453163,-155.63586,-248.24911,2.6235757,-4.3428626,43.63268,220000
1.0,1.0,0.004977378,0.49773782,1.0049773,0.4933117,-17.049864,-156.4823,-223.0665,4.037019,-5.2061105,41.819805,225000
1.0,1.0,0.004827792,0.48277918,1.0048277,0.96373004,-23.86108,-158.36024,-235.89882,7.906414,-11.96104,96.589035,230000
1.0,0.99997044,0.0052127466,0.5212747,1.0051832,1.5534239,0.52033573,-155.22311,-314.35257,30.351133,-39.839252,262.5896,235000
1.0,1.0,0.00497335,0.49733502,1.0049733,0.6389802,-0.14336276,-154.28088,-219.33618,6.7652564,-6.564006,63.08269,240000
1.0,1.0,0.0042193937,0.42193937,1.0042194,0.84919494,-21.560637,-158.35785,-220.7903,7.2608886,-8.202776,63.35464,245000
1.0,1.0,0.0041179173,0.41179174,1.004118,0.59701777,-4.220359,-157.21207,-233.44995,6.0922794,-4.241813,47.811348,250000
1.0,0.9999988,0.0057247193,0.572472,1.0057235,0.5740564,0.257376,-148.21707,-256.83087,6.874629,-6.764753,57.37803,255000
1.0,0.9999999,0.0047466815,0.47466812,1.0047466,0.59521604,-2.0540986,-155.60802,-259.89624,6.216594,-6.1514235,56.241688,260000
1.0,1.0,0.004077148,0.4077148,1.0040772,0.92174613,-2.2228992,-155.2539,-237.11131,7.6301217,-4.6725993,82.28159,265000
1.0,0.99999994,0.004873973,0.4873973,1.0048739,0.47638232,0.11826444,-158.03412,-250.53284,2.5580897,-3.3488038,44.639595,270000
1.0,0.99999994,0.0050395224,0.50395226,1.0050395,0.7220031,-1.1833788,-152.95325,-224.22314,4.4662414,-9.773577,60.310204,275000
1.0,1.0,0.0043681143,0.43681148,1.0043681,0.65254873,-29.67624,-158.1323,-251.54195,3.014251,-3.986825,36.460846,280000
1.0,0.99999994,0.0042347983,0.42347986,1.0042348,0.5085701,-32.67871,-161.90831,-251.52264,3.25186,-2.5623994,32.560497,285000
1.0,1.0,0.004513757,0.45137572,1.0045137,0.6850809,-4.938809,-152.85442,-265.40845,4.992507,-5.323673,55.680946,290000
1.0,1.0,0.0051827477,0.5182747,1.0051827,0.4395677,-22.927795,-160.1109,-223.50139,3.8819623,-6.5306487,47.538452,295000
1.0,1.0,0.0048961462,0.48961464,1.0048962,0.6658983,-6.0196195,-155.67163,-250.49208,3.2630138,-2.9519827,40.311226,300000
1.0,0.99999994,0.0048214435,0.48214436,1.0048214,0.41009882,-3.2027657,-156.02423,-240.75963,3.7593877,-3.1811619,36.221825,305000
1.0,0.9999693,0.0046940567,0.4694057,1.0046633,0.7528751,0.41381034,-153.89432,-226.99574,5.0604057,-4.170705,49.47765,310000
1.0,0.99997926,0.0047296463,0.47296458,1.0047089,0.75860965,0.34321538,-153.77678,-250.22063,3.4868596,-6.159219,43.290607,315000
1.0,1.0,0.0049445983,0.4944598,1.0049446,0.46304616,-11.157442,-156.72267,-246.56732,1.9272808,-1.9373978,29.443382,320000
1.0,1.0,0.0056675547,0.5667554,1.0056676,0.896688,-1.2997565,-153.53302,-250.66432,4.117745,-3.3429563,49.47122,325000
1.0,1.0000001,0.0043028286,0.43028286,1.004303,0.8994045,-2.4826443,-157.75938,-256.7195,8.057584,-7.3668075,75.01314,330000
1.0,0.9999999,0.0042641293,0.42641297,1.004264,0.80713654,-15.312966,-154.55885,-242.51657,7.53544,-9.02419,72.0658,335000
1.0,1.0,0.0041988376,0.4198838,1.0041988,0.55276555,-0.19154519,-158.35602,-242.77837,6.420316,-4.473269,51.944603,340000
1.0,0.9999999,0.004562846,0.4562846,1.0045627,0.8910923,-0.39167666,-157.04532,-239.89804,8.714802,-5.150434,70.01115,345000
1.0,1.0,0.0048469817,0.48469818,1.0048469,0.6740088,-15.757472,-157.23094,-233.20241,6.614945,-4.4934974,54.795746,350000
1.0,1.0,0.004437478,0.44374782,1.0044374,0.35421255,-17.755348,-160.32167,-238.64627,3.1376848,-1.4264588,23.587635,355000
1.0,1.0,0.0044640554,0.4464056,1.004464,0.4945681,-25.836805,-161.52533,-238.22568,1.8441298,-2.1090183,25.560442,360000
1.0,0.99999994,0.00516434,0.5164341,1.0051643,0.77947986,-14.7381315,-164.6081,-235.84973,5.9106393,-4.23692,55.593304,365000
1.0,1.0,0.004334291,0.4334291,1.0043343,1.1233032,-13.833144,-160.124,-211.9626,34.206684,-16.245846,141.9576,370000
1.0,0.99999994,0.0047006635,0.47006634,1.0047007,0.58147717,-10.858994,-154.71353,-229.6446,4.266196,-5.1978273,49.262688,375000
1.0,1.0,0.004135425,0.41354254,1.0041354,0.5444602,-20.451593,-156.9387,-227.18681,2.5933838,-2.976389,30.626083,380000
1.0,0.9999933,0.004474818,0.44748175,1.0044681,0.9044,0.016236782,-157.52164,-222.2043,9.714971,-7.955963,79.300446,385000
1.0,1.0000002,0.0047131227,0.4713123,1.0047134,0.5587606,-2.653521,-155.68591,-213.9106,4.1175747,-3.8366098,34.515163,390000
1.0,1.0,0.004271659,0.42716593,1.0042716,0.41934752,-25.140863,-164.156,-224.6659,1.9810061,-1.4131289,19.421604,395000
1.0,1.0,0.004252622,0.42526215,1.0042527,0.39023483,-32.76584,-167.5316,-223.19617,1.6926652,-1.2665434,17.527739,400000
1.0,1.0,0.0048498698,0.48498702,1.0048499,0.32965806,-10.57367,-164.11241,-231.38107,1.5071802,-2.8271651,22.710245,405000
1.0,1.0,0.004104235,0.41042355,1.0041043,0.33141488,-0.15361923,-157.44617,-220.52953,2.0978324,-1.5505688,23.328129,410000
1.0,1.0,0.0044304957,0.44304958,1.0044305,0.36991888,-0.24720708,-154.0852,-218.55745,4.594339,-2.3950398,27.130877,415000
1.0,0.9999831,0.004189341,0.4189341,1.0041724,0.43205315,0.61496246,-160.54407,-226.39705,3.3782775,-3.6755292,35.551525,420000
1.0,1.0,0.0045772665,0.45772666,1.0045773,0.44097576,-0.66133,-158.37112,-223.68718,2.410822,-3.1935794,24.623861,425000
1.0,0.99999994,0.004772439,0.4772439,1.0047724,0.4360602,-4.1688,-161.38757,-222.9962,2.0224118,-2.0197685,21.76417,430000
1.0,1.0,0.00420848,0.420848,1.0042084,0.41800302,-16.884344,-165.43085,-224.14072,2.4582832,-2.2416253,27.99445,435000
1.0,1.0,0.0043209693,0.43209696,1.004321,0.41053233,-19.770983,-161.83943,-222.61185,2.9035773,-2.319766,27.095612,440000
1.0,1.0,0.0041415542,0.41415545,1.0041416,0.47570974,-5.7605844,-161.46721,-245.50578,3.3151026,-4.337959,34.69473,445000
1.0,1.0,0.004871077,0.4871077,1.0048711,0.58928245,-25.078058,-162.38144,-226.46776,3.8528423,-5.070516,43.489494,450000
1.0,1.0,0.004319654,0.43196538,1.0043197,0.4323666,-3.4430914,-157.2859,-225.45546,5.8252726,-4.213759,40.842327,455000
1.0,1.0,0.004895607,0.48956072,1.0048956,0.54875207,-3.8744962,-154.91287,-227.77898,4.448404,-7.0386987,44.238678,460000
1.0,1.0000001,0.0038255546,0.3825555,1.0038257,0.4109063,-15.273348,-162.5717,-233.54797,3.6618247,-3.7184098,26.785229,465000
1.0,1.0,0.004085477,0.40854776,1.0040854,0.46650088,-0.9819144,-163.04979,-217.35985,5.2100787,-3.501936,33.548077,470000
1.0,1.0,0.004391936,0.4391936,1.0043919,0.5414318,-1.3306425,-164.47122,-225.89467,3.310552,-2.6243083,29.052597,475000
