actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,0.9999999,0.004439355,0.44393548,1.0044392,2.4501185,-5.16469,-168.72476,-246.66122,16.294775,-22.738688,208.49155,220000
1.0,0.99999994,0.004801792,0.48017925,1.0048018,0.7295604,-0.22742826,-163.6527,-256.993,3.4701986,-2.7437458,55.28342,225000
1.0,0.99999994,0.005386995,0.5386995,1.005387,1.4904957,-2.4777997,-161.74841,-263.3592,7.54377,-10.41598,115.07576,230000
1.0,1.0,0.0043736817,0.43736815,1.0043737,0.95575726,-11.635229,-164.68631,-249.23328,17.265041,-11.725815,113.89852,235000
1.0,1.0,0.00484463,0.484463,1.0048447,0.9932076,-12.459895,-165.97299,-236.45085,7.972772,-7.5502496,85.643616,240000
1.0,1.0,0.0045593753,0.45593756,1.0045594,0.74130595,-1.1024399,-167.95547,-245.37619,11.323259,-9.723416,93.717316,245000
1.0,1.0,0.0043734047,0.43734047,1.0043734,0.7052408,-7.8589106,-168.94232,-256.39447,2.2877672,-3.523754,32.82483,250000
1.0,1.0,0.004319478,0.43194777,1.0043194,1.0872912,-9.224477,-167.98593,-255.39262,6.6979256,-5.4002604,62.718246,255000
1.0,1.0,0.0046282345,0.46282345,1.0046282,0.8449746,-7.6776567,-165.8324,-242.32434,6.6499095,-6.4818883,68.479324,260000
1.0,0.99999994,0.0046288297,0.46288294,1.0046288,0.6726899,-28.67624,-167.99368,-214.98923,2.6859615,-2.6587074,32.96172,265000
1.0,1.0,0.004261739,0.42617393,1.0042617,0.8693468,-6.464667,-168.18501,-293.76782,3.7745204,-4.666454,44.529,270000
1.0,1.0,0.00491634,0.49163407,1.0049163,3.3036957,-10.026012,-164.69247,-297.58463,57.71262,-45.770485,378.63397,275000
1.0,0.99999994,0.0049774675,0.49774677,1.0049775,2.3790908,-6.37,-162.52147,-296.3636,24.585037,-18.971544,167.51964,280000
1.0,1.0,0.0045794058,0.45794058,1.0045794,1.3915498,-15.140351,-166.3953,-223.46907,18.20066,-16.120016,134.5694,285000
1.0,1.0000001,0.005150881,0.51508814,1.005151,1.1198521,-0.33995375,-165.65277,-229.10596,13.348018,-16.352427,117.734695,290000
1.0,1.0,0.004164871,0.41648713,1.0041648,0.8654505,0.42483214,-163.21275,-306.34717,1.956638,-3.2546804,40.40758,295000
1.0,1.0,0.0055151978,0.55151975,1.0055152,1.6857388,-0.9888271,-165.30109,-230.52528,6.180556,-7.5961876,84.693535,300000
1.0,1.0,0.0048394017,0.48394018,1.0048394,1.0439508,-0.4656316,-155.40996,-241.49176,5.251369,-5.991832,63.236626,305000
1.0,0.99999994,0.0045466507,0.45466506,1.0045466,1.6058972,-24.081682,-160.16727,-212.48212,9.284921,-8.870209,102.58599,310000
1.0,1.0,0.005307749,0.53077495,1.0053078,1.2632554,0.4402532,-163.8948,-225.53342,5.22211,-8.467979,84.78305,315000
1.0,1.0,0.004875215,0.48752156,1.0048752,1.0454369,-33.791924,-168.94385,-257.29532,10.724093,-11.915648,125.269035,320000
1.0,1.0,0.004748815,0.47488153,1.0047488,1.0338116,-23.140284,-162.6181,-242.8303,2.6924489,-1.9516356,43.465508,325000
1.0,1.0,0.0042738756,0.4273876,1.0042739,1.351685,-0.96365345,-161.65143,-214.73323,24.17461,-14.752415,170.69513,330000
1.0,1.0,0.004473326,0.44733262,1.0044733,1.3170929,-12.608397,-165.62805,-231.99435,7.5930915,-6.200728,75.703964,335000
1.0,0.9999917,0.004443115,0.44431153,1.0044348,1.1603823,0.32538342,-160.93796,-206.9135,4.5464005,-2.8159087,55.121353,340000
1.0,0.99998754,0.0056053842,0.5605384,1.005593,1.53123,0.59921014,-157.23593,-212.3763,10.171365,-11.417094,97.66459,345000
1.0,1.0,0.0053045587,0.53045595,1.0053046,1.9957484,-13.05587,-159.71956,-225.45654,8.564712,-7.0308156,89.98117,350000
1.0,1.0,0.0049110116,0.4911012,1.0049111,1.4472225,-0.08183926,-163.40965,-219.87366,8.540089,-9.461627,77.445404,355000
1.0,0.99999994,0.0055822544,0.55822545,1.0055822,1.2472726,-0.5958865,-156.90115,-309.06772,19.450108,-6.9892945,105.62128,360000
1.0,1.0,0.005071773,0.50717735,1.0050718,18.626831,-1.8188915,-156.01376,-250.19263,357.5392,-457.7648,2283.4685,365000
1.0,0.9999642,0.004051718,0.4051718,1.0040159,0.72332317,0.72311425,-159.1086,-229.58199,12.894574,-10.560286,111.693756,370000
1.0,1.0,0.004365864,0.43658638,1.0043659,0.88411963,-43.155724,-165.305,-220.92892,4.130412,-3.5403445,39.274834,375000
1.0,0.99999994,0.004595576,0.4595576,1.0045955,0.8702304,-4.2644567,-160.92279,-328.76544,3.796428,-2.597197,46.156185,380000
1.0,0.99999994,0.0044158655,0.44158655,1.0044158,1.2821639,-1.9436988,-161.84816,-212.60594,17.175707,-18.273134,139.65138,385000
1.0,1.0,0.0043746866,0.43746865,1.0043747,1.5281335,-1.910353,-160.96664,-237.27747,8.717023,-9.182041,85.947174,390000
1.0,1.0,0.0044119414,0.44119418,1.0044119,0.71052176,-6.688295,-161.5993,-329.91806,2.0652456,-3.7858455,32.83382,395000
1.0,1.0,0.004342268,0.4342268,1.0043423,0.6084814,0.100262314,-164.91525,-238.82405,9.283641,-6.1218596,69.985115,400000
1.0,1.0,0.004011184,0.40111843,1.0040112,0.7482739,-8.180203,-164.39581,-227.54933,2.4566708,-2.2321377,35.69252,405000
1.0,0.9999744,0.004718991,0.4718991,1.0046934,0.89560956,0.71037114,-164.5518,-224.48682,10.147238,-6.082859,63.903397,410000
1.0,1.0,0.0038669414,0.38669413,1.0038669,1.0427935,-5.082825,-168.48389,-225.11993,10.34476,-10.223311,78.18628,415000
1.0,0.99999994,0.00412055,0.41205508,1.0041205,0.6287013,-11.90916,-168.81923,-227.88527,8.72483,-4.5747705,72.363174,420000
1.0,1.0,0.0045363856,0.45363855,1.0045364,0.9808415,-11.869844,-168.35667,-225.35089,7.968975,-4.9723496,65.998726,425000
1.0,0.99999994,0.0043711965,0.4371197,1.0043712,0.788518,-37.658848,-171.45108,-227.7417,5.484659,-6.5532303,46.660076,430000
1.0,1.0,0.0040902905,0.40902907,1.0040903,0.6486946,-0.06905776,-169.32529,-219.06657,8.057483,-9.482638,53.51983,435000
1.0,1.0,0.004112361,0.4112361,1.0041124,0.64847934,-11.033798,-171.6239,-304.09418,9.031713,-15.516933,90.75424,440000
1.0,1.0,0.0040160744,0.4016074,1.004016,0.5780978,-6.607694,-170.63466,-297.23428,4.1166806,-3.8475008,43.822414,445000
1.0,1.0,0.0040988983,0.40988982,1.0040989,0.68724716,-1.3947301,-167.47214,-235.16345,3.9381697,-5.482769,44.29114,450000
1.0,0.99999636,0.0042437566,0.42437568,1.0042402,1.6657455,0.49637234,-172.64523,-277.21954,10.092227,-8.006558,93.43343,455000
1.0,0.9999966,0.0039239544,0.39239547,1.0039206,0.6372412,0.1922226,-169.8249,-235.35838,3.4653025,-2.1641207,40.354485,460000
